;;;;Total de Lucro;Total de faturamento;Total de vendas;;;;;;;;;;;;;;;;;
;;;;R$ 35.356,54;R$ 205.289,24;211;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Mês;Soma de Faturamento;Soma de Lucro;;;;;;;;
;;;;;;;;;;;;;janeiro;R$ 8.625,00;R$ 1.304,50;;;;;;;;
;;;;;;;;;;;;;fevereiro;R$ 17.875,00;R$ 3.049,00;;;;;;;;
;;;;;;;;;;;;;março;R$ 35.093,16;R$ 6.059,81;;;;;;;;
;;;;;;;;;;;;;abril;R$ 30.994,36;R$ 4.926,12;;;;;;;;
;;;;;;;;;;;;;maio;R$ 33.028,72;R$ 5.437,68;;;;;;;;
;;;;;;;;;;;;;junho;R$ 12.367,00;R$ 3.431,49;;;;;;;;
;;;;;;;;;;;;;julho;R$ 7.875,00;R$ 2.322,00;;;;;;;;
;;;;;;;;;;;;;agosto;R$ 6.275,00;R$ 1.542,70;;;;;;;;
;;;;;;;;;;;;;setembro;R$ 9.679,00;R$ 1.504,02;;;;;;;;
;;;;;;;;;;;;;outubro;R$ 10.724,00;R$ 2.339,02;;;;;;;;
;;;;;;;;;;;;;novembro;R$ 17.795,00;R$ 1.764,00;;;;;;;;
;;;;;;;;;;;;;dezembro;R$ 14.958,00;R$ 1.676,20;;;;;;;;
;;;;;;;;;;;;;Total Geral;R$ 205.289,24;R$ 35.356,54;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;CATEGORIA;Soma de Lucro;;;;;;;;;
;;;;;;;;;;;;;ACESSORIO;R$ 3.737,75;;;;;;;;;
;;;;;;;;;;;;;CELULAR;R$ 30.566,29;;;;;;;;;
;;;;;;;;;;;;;MANUTENÇÃO;R$ 1.052,50;;;;;;;;;
;;;;;;;;;;;;;Total Geral;R$ 35.356,54;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;Análise exploratória Sabino Shop;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Mês;Soma de quantidades de pedidos;;;;;;;;;
;;;;;;;;;;;;;janeiro;5;;;;;;;;;
;;;;;;;;;;;;;fevereiro;18;;;;;;;;;
;;;;;;;;;;;;;março;28;;;;;;;;;
;;;;;;;;;;;;;abril;26;;;;;;;;;
;;;;;;;;;;;;;maio;22;;;;;;;;;
;;;;;;;;;;;;;junho;20;;;;;;;;;
;;;;;;;;;;;;;julho;12;;;;;;;;;
;;;;;;;;;;;;;agosto;18;;;;;;;;;
;;;;;;;;;;;;;setembro;15;;;;;;;;;
;;;;;;;;;;;;;outubro;20;;;;;;;;;
;;;;;;;;;;;;;novembro;13;;;;;;;;;
;;;;;;;;;;;;;dezembro;14;;;;;;;;;
;;;;;;;;;;;;;Total Geral;211;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Produto;Soma de QUANTIDADE;;;;;;;;;
;;;;;;;;;;;;;iphone 11 128 gb;10;;;;;;;;;
;;;;;;;;;;;;;iphone 11 64 gb;12;;;;;;;;;
;;;;;;;;;;;;;iphone 11 pro 64 gb;2;;;;;;;;;
;;;;;;;;;;;;;iphone 11 pro max 256 gb;1;;;;;;;;;
;;;;;;;;;;;;;iphone 11 pro max 64 gb;1;;;;;;;;;
;;;;;;;;;;;;;iphone 12 128 gb;7;;;;;;;;;
;;;;;;;;;;;;;iphone 12 64 gb;2;;;;;;;;;
;;;;;;;;;;;;;iphone 12 pro 128 gb;1;;;;;;;;;
;;;;;;;;;;;;;iphone 12 pro max 128 gb;2;;;;;;;;;
;;;;;;;;;;;;;iphone 13 128 gb;11;;;;;;;;;
;;;;;;;;;;;;;iphone 14 128 gb;3;;;;;;;;;
;;;;;;;;;;;;;iphone 15 pro max 256 gb;3;;;;;;;;;
;;;;;;;;;;;;;iphone 7 plus 256 gb;1;;;;;;;;;
;;;;;;;;;;;;;iphone 8 plus 64;1;;;;;;;;;
;;;;;;;;;;;;;iphone 8 plus 64 gb;2;;;;;;;;;
;;;;;;;;;;;;;iphone xr 128 gb;8;;;;;;;;;
;;;;;;;;;;;;;iphone xr 64 gb;6;;;;;;;;;
;;;;;;;;;;;;;Total Geral;73;;;;;;;;;
